,2011.0,2012.0,2013.0,2014.0,2015.0
Astoria,,,,,0.0777642750318
Baisley Park,0.247867528879,,,,
Central Harlem South,,,,2.11378452789,0.601499730292
Chinatown,,0.30383397868,,,
Clinton Hill,,2.6059857271,0.127431893271,0.157670150331,0.273063785795
Crown Heights North,,,0.793354617818,0.946043649258,0.494983573603
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.31893065359,0.213810014544,,,
East Elmhurst,0.463281892605,0.551102020833,,,
East Harlem South,1.020993324,0.520417867868,,0.125562479526,0.121219729153
East Williamsburg,1.0352410538,1.03084879574,0.0886069678474,0.0915161224624,0.0922783126796
Elmhurst-Maspeth,,,,0.0910591800167,
Flushing,0.228169327222,,0.140437852401,,
Forest Hills,,,,,0.0871645975097
Greenpoint,0.973345694085,0.52145175784,0.0908243275996,0.218859149446,0.17583969065
Hunters Point-Sunnyside-West Maspeth,,0.245454746621,,,
Jackson Heights,,,,0.411301407738,0.602267492755
Lower East Side,0.970148398554,0.432640285475,0.555095175613,,0.112611015492
North Side-South Side,0.328781749514,0.299976914533,0.119162395647,0.0996993449506,
Prospect Heights,,,0.0948285855285,,
South Ozone Park,0.774786462642,,0.449164096534,,
Springfield Gardens South-Brookville,,,0.161878528916,,
Woodside,,,,0.10638985956,
